"Step","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"51","-759215.4778484148","-759215.4778484148","-759215.4778484148","-1279593.6580467513","-1279593.6580467513","-1279593.6580467513","-1642934.9945824353","-1642934.9945824353","-1642934.9945824353","-613964.2045475243","-613964.2045475243","-613964.2045475243"
"52","-759614.64465532","-759614.64465532","-759614.64465532","-1276698.1237550962","-1276698.1237550962","-1276698.1237550962","-1642136.7073618914","-1642136.7073618914","-1642136.7073618914","-613180.9462235414","-613180.9462235414","-613180.9462235414"
"53","-760030.7310095652","-760030.7310095652","-760030.7310095652","-1273221.6652706095","-1273221.6652706095","-1273221.6652706095","-1641249.9038020046","-1641249.9038020046","-1641249.9038020046","-612383.1725404018","-612383.1725404018","-612383.1725404018"
"54","-760262.6161129422","-760262.6161129422","-760262.6161129422","-1269476.4314732905","-1269476.4314732905","-1269476.4314732905","-1640454.523159769","-1640454.523159769","-1640454.523159769","-610729.258440263","-610729.258440263","-610729.258440263"
"55","-760607.1824378639","-760607.1824378639","-760607.1824378639","-1265138.6686303637","-1265138.6686303637","-1265138.6686303637","-1638673.7345838286","-1638673.7345838286","-1638673.7345838286","-610354.890600238","-610354.890600238","-610354.890600238"
"56","-760201.6218211553","-760201.6218211553","-760201.6218211553","-1262029.1304649622","-1262029.1304649622","-1262029.1304649622","-1637617.8332533957","-1637617.8332533957","-1637617.8332533957","-609169.5322654789","-609169.5322654789","-609169.5322654789"
"57","-760353.0101275556","-760353.0101275556","-760353.0101275556","-1258932.4839644781","-1258932.4839644781","-1258932.4839644781","-1636907.669777601","-1636907.669777601","-1636907.669777601","-608933.2200206369","-608933.2200206369","-608933.2200206369"
"58","-759933.3890008322","-759933.3890008322","-759933.3890008322","-1254237.1787392357","-1254237.1787392357","-1254237.1787392357","-1636128.6601845114","-1636128.6601845114","-1636128.6601845114","-607911.8505313067","-607911.8505313067","-607911.8505313067"
"59","-760504.4312442481","-760504.4312442481","-760504.4312442481","-1250615.3969358196","-1250615.3969358196","-1250615.3969358196","-1635429.1827306843","-1635429.1827306843","-1635429.1827306843","-608012.991145823","-608012.991145823","-608012.991145823"
"60","-761194.441481277","-761194.441481277","-761194.441481277","-1247770.8393593382","-1247770.8393593382","-1247770.8393593382","-1635155.1255019992","-1635155.1255019992","-1635155.1255019992","-608026.9981489162","-608026.9981489162","-608026.9981489162"
"61","-761172.535133802","-761172.535133802","-761172.535133802","-1243905.9564406874","-1243905.9564406874","-1243905.9564406874","-1634058.92955847","-1634058.92955847","-1634058.92955847","-607562.7728917118","-607562.7728917118","-607562.7728917118"
"62","-760396.1388405719","-760396.1388405719","-760396.1388405719","-1239862.2885520475","-1239862.2885520475","-1239862.2885520475","-1633968.1343772209","-1633968.1343772209","-1633968.1343772209","-606432.928367691","-606432.928367691","-606432.928367691"
"63","-760982.9515740339","-760982.9515740339","-760982.9515740339","-1237008.5928927325","-1237008.5928927325","-1237008.5928927325","-1633503.7220998346","-1633503.7220998346","-1633503.7220998346","-606399.6887876395","-606399.6887876395","-606399.6887876395"
